Timestamp,Buffer._avg (B),Cache._avg (B),Share._avg (B),Swap._avg (B),Total._avg (B),Use._avg (B)
1632481200,2252800,4055309025.28,0,0,23522713600,17220597017.6
1632484800,2252800,4427298104.32,0,0,23522713600,17460616709.12
1632488400,2252800,4435583948.8,0,0,23522713600,17543984102.4
1632492000,2252800,4456778967.04,0,0,23522713600,17520602685.44
1632495600,2252800,4468140026.88,0,0,23522713600,17378447703.04
1632499200,2212966.4,3442024002.56,0,0,23522713600,18687100344.32
1632502800,2245555.2,3331836938.24,0,0,23522713600,18853227089.92
1632726000,2252800,3381925847.04,0,0,23522713600,13862569963.52
1632729600,2218608.64,3575950955.52,0,0,23522713600,16810435368.96
1632733200,2248704,3246030115.84,0,0,23522713600,18320296919.04
1632736800,2248704,2988445194.24,0,0,23522713600,18547709189.12
1632740400,2248704,2957762181.12,0,0,23522713600,18686261217.28
1632744000,2136064,2841378524.16,0,0,22742897664,18283023749.12
1632747600,2248704,2931237442.56,0,0,23522713600,18875976878.08
1632751200,2248704,2949056721.92,0,0,23522713600,18888260526.08
1632754800,2244520.96,2884424657.92,0,0,23522713600,19007134197.76
1632758400,2217984,2470363627.52,0,0,23522713600,19341542410.24
1632812400,2252800,2829766835.2,0,0,23522709504,13884991380.48
1632819600,2252800,2717652976.64,0,0,23522713600,13382066641.92
1632823200,2252800,2866270161.92,0,0,23522713600,15445836871.68
1632826800,2252800,2937377198.08,0,0,23522713600,15945338245.12
1632830400,2347432.96,3895943147.52,0,0,23522713600,17485763845.12
1632834000,2248704,3454282209.28,0,0,23522713600,18061840261.12
1632837600,2248704,3291167185.92,0,0,23522713600,18244642063.36
1632841200,2248704,3225103892.48,0,0,23522713600,18359199728.64
1632844800,2248704,3052691681.28,0,0,23522713600,18436142740.48
1632891600,2252800,2811480770.56,0,0,23522713600,13625204485.12
1632895200,2252800,2902125967.36,0,0,23522713600,15216345728
1632898800,2252800,3010701941.76,0,0,23522713600,15789460720.64
1632902400,2252800,3123545169.92,0,0,23522713600,16172038702.08
1632906000,2252800,3196207677.44,0,0,23522713600,16437209594.88
1632909600,2252800,3231317370.88,0,0,23522713600,16455863987.2
1632913200,2252800,3272543022.08,0,0,23522713600,16535509171.2
1632916800,2205388.8,3497673410.56,0,0,23522713600,17108042152.96
1632920400,2248704,3329385072.64,0,0,23522713600,18222463344.64
1632924000,2248704,3329170206.72,0,0,23522713600,18286455490.56
1632927600,2248704,3258861542.4,0,0,23522713600,18425860787.2
1632931200,2248704,3279309777.92,0,0,23522713600,18462194775.04
1632974400,2212572.16,2822523069.44,0,0,23244207907.84,13793694003.2
1632978000,2252800,2949429888,0,0,23522713600,15222155668.48
1632981600,2252800,2998966937.6,0,0,23522713600,15608830622.72
1632985200,2225510.4,3513070223.36,0,0,23522713600,17421948282.88
1632988800,2250752,3595720048.64,0,0,23522713600,17905774812.16
1632992400,2250752,3446414576.64,0,0,23522713600,18022706396.16
1632996000,2250752,3388568883.2,0,0,23522713600,18153868963.84
1632999600,2250752,3304237603.84,0,0,23522713600,18254961699.84
1633003200,2250752,3345908520.96,0,0,23522713600,18290782878.72
1633006800,2250752,3379665162.24,0,0,23522713600,18356683622.4
1633010400,2250752,3402018631.68,0,0,23522713600,18330712299.52
1633014000,2250752,3459779276.8,0,0,23522713600,18338227312.64
1633017600,2250752,3485149475.84,0,0,23522713600,18292209034.24
1633021200,2250752,3505499955.2,0,0,23522713600,18314393722.88
1633075200,2252800,2787676011.52,0,0,23522713600,10831808245.76
1633078800,2252800,2948247029.76,0,0,23522713600,14687850091.52
1633082400,2252800,3088958868.48,0,0,23522713600,15598538613.76
1633086000,2252800,3132737996.8,0,0,23522713600,15900861470.72
1633089600,2252800,3169706286.08,0,0,23522713600,16139418536.96
1633093200,2205634.56,3389172807.68,0,0,23522713600,16784312504.32
1633096800,2234368,3404785351.68,0,0,23522713600,18054877255.68
1633100400,2234368,3353539502.08,0,0,23522713600,18119239639.04
1633330800,2171617.28,2733700029.44,0,0,22389408296.96,12572578314.24
1633334400,2252800,2993642936.32,0,0,23522709504,15181479941.12
1633338000,2252800,3072540108.8,0,0,23522709504,15655054136.32
1633341600,1638005.76,3648966891.52,0,0,23522709504,18143138135.04
1633345200,1251328,2911405829.12,0,0,23522709504,19109111377.92
1633348800,1251328,2634195491.84,0,0,23522709504,19081257047.04
1633352400,1212825.6,2575469419.52,0,0,23522709504,19360244372.48
1633356000,1773429.76,2417573304.32,0,0,23522709504,19542667304.96
1633359600,2201600,2432357212.16,0,0,23522709504,19588972098.56
1633363200,2201600,2428849326.08,0,0,23522709504,19700198604.8
1633366800,2201600,2436211200,0,0,23522709504,19698219719.68
1633370400,2201600,2462901386.24,0,0,23522709504,19758029808.64
1633374000,2201600,2469151549.44,0,0,23522709504,19714976629.76
1633377600,2201600,2494085949.44,0,0,23522709504,19699464309.76
1633381200,2201600,2514274903.04,0,0,23522709504,19693035642.88
1633384800,2201600,2517451095.04,0,0,23522709504,19691911941.12
1633388400,2201600,2553322787.84,0,0,23522709504,19703890672.64
1633392000,2201600,2572994268.16,0,0,23522709504,19728338529.28
1633395600,2201600,2596721914.88,0,0,23522709504,19698746910.72
1633399200,2201600,2595822177.28,0,0,23522709504,19732295050.24
1633402800,2201600,2605390991.36,0,0,23522709504,19754232371.2
1633406400,2201600,2634983434.24,0,0,23522709504,19787500764.16
1633410000,2201600,2643247713.28,0,0,23522709504,19819788897.28
1633413600,2201600,2663687577.6,0,0,23522709504,19868865090.56
1633417200,1201090.56,2543011686.4,0,0,23522709504,19974788766.72
1633420800,1191936,2507709716.48,0,0,23522709504,19842074296.32
1633424400,1162240,2295211217.92,0,0,23522709504,20145212989.44
1633428000,1150976,2301069204.48,0,0,23522709504,20189080719.36
1633431600,1150976,2364315489.28,0,0,23522709504,20199515320.32
1633435200,1150976,2376182594.56,0,0,23522709504,20130924718.08
1633438800,1150976,2423648414.72,0,0,23522709504,20121910000.64
1633442400,1150976,2360753971.2,0,0,23522709504,20171917926.4
1633446000,1150976,2274443202.56,0,0,23522709504,19589476695.04
1633449600,1150976,2321691648,0,0,23522709504,19618718423.04
1633496400,2252800,3196329384.96,0,0,23522709504,13991070336
1633500000,2254182.4,3316254218.24,0,0,23522709504,15430241858.56
1633503600,2258944,3447278827.52,0,0,23522709504,16007551006.72
1633507200,2258944,3516066933.76,0,0,23522709504,16438725084.16
1633510800,2258944,3568447452.16,0,0,23522709504,16459769226.24
1633514400,2258944,3608898831.36,0,0,23522709504,16584755092.48
1633518000,1301196.8,3626174448.64,0,0,23522709504,18555809704.96
1633521600,1259520,2943254425.6,0,0,23522709504,19054871434.24
1633525200,1259520,3004943662.08,0,0,23522709504,19340678236.16
1633528800,1187169.28,3804963706.88,0,0,23522709504,18324050990.08
1633532400,1150976,4071118986.24,0,0,23522709504,18004858731.52
1633536000,1150976,4068415124.48,0,0,23522709504,17996589736.96
1633539600,1150976,4115546818.56,0,0,23522709504,17984096271.36
1633586400,2252800,2413976524.8,0,0,23522713600,4153480340.48
1633590000,2426721.28,3448087946.24,0,0,23522713600,14957527587.84
1633593600,2458383.36,3926277954.56,0,0,23522713600,17429801333.76
1633597200,2250752,4046345984,0,0,23522713600,17579673456.64
1633600800,2250752,4058691297.28,0,0,23522713600,17568741698.56
1633604400,2250752,4001603328,0,0,23522713600,17648339353.6
1633608000,2250752,3783925248,0,0,23522713600,17773577354.24
1633611600,2250752,3636119280.64,0,0,23522713600,18086158689.28
1633615200,2250752,3182916695.04,0,0,23522713600,18423193738.24
1633618800,2222402.56,2700114416.64,0,0,23522713600,19633820687.36
1633622400,1288140.8,2083284331.52,0,0,23522713600,19858918195.2
1633690800,2252800,3914576076.8,0,0,23522713600,15671414195.2
1633694400,2201687.04,3347386316.8,0,0,23522713600,18271275412.48
1633698000,2246656,3044326502.4,0,0,23522713600,18828932398.08
