Timestamp,Available,,User._avg (%),Idle._avg (%)
1633328100,68.995,,13.89,82.885
1633328400,81.74,,8.385,90.125
1633328700,83.335,,7.6,90.935
1633329000,83.915,,7.315,91.23
1633329300,85.93,,6.355,92.285
1633329600,84.815,,6.885,91.7
1633329900,86.06,,6.265,92.325
1633330200,84.415,,7.08,91.495
1633330500,84.265,,7.135,91.4
1633330800,77.56,,8.525,86.085
1633331100,85.535,,6.535,92.07
1633331400,84.465,,7.035,91.5
1633331700,86.16,,6.22,92.38
1633332000,83.61,,7.425,91.035
1633332300,84.54,,6.995,91.535
1633332600,83.07,,7.69,90.76
1633332900,86.49,,6.075,92.565
1633333200,85.02,,6.755,91.775
1633333500,86.675,,5.985,92.66
1633333800,83.29,,7.59,90.88
1633334100,85.08,,6.755,91.835
1633334400,84.96,,6.795,91.755
1633334700,86.22,,6.185,92.405
1633335000,83.8,,7.365,91.165
1633335300,83.73,,7.425,91.155
1633335600,83.85,,7.325,91.175
1633335900,84.65,,6.97,91.62
1633336200,83.295,,7.565,90.86
1633336500,85.58,,6.505,92.085
1633336800,84.4,,7.035,91.435
1633337100,86.255,,6.18,92.435
1633337400,83.745,,7.34,91.085
1633337700,84.43,,7.045,91.475
1633338000,83.025,,7.705,90.73
1633338300,35.415,,30.915,66.33
1633338600,82.02,,8.16,90.18
1633338900,83.915,,7.275,91.19
1633339200,82.425,,7.945,90.37
1633339500,83.375,,7.5,90.875
1633339800,83.065,,7.62,90.685
1633340100,85.89,,6.29,92.18
1633340400,83.785,,7.305,91.09
1633340700,85.42,,6.545,91.965
1633341000,83.685,,7.35,91.035
1633341300,83.37,,7.495,90.865
1633341600,80.82,,8.725,89.545
1633341900,84.69,,6.855,91.545
1633342200,83.635,,7.425,91.06
1633342500,85.555,,6.45,92.005
1633342800,83.705,,7.385,91.09
1633343100,82.27,,7.635,89.905
1633343400,83.74,,7.32,91.06
1633343700,63.53,,16.655,80.185
1633344000,83.65,,7.295,90.945
1633344300,82.33,,7.98,90.31
1633344600,82.355,,7.985,90.34
1633344900,82.4,,7.935,90.335
1633345200,82.68,,7.775,90.455
1633345500,85.425,,6.485,91.91
1633345800,82.03,,8.15,90.18
1633346100,85.395,,6.505,91.9
1633346400,82.92,,7.705,90.625
1633346700,80.06,,9.055,89.115
1633347000,83.07,,7.62,90.69
1633347300,86.605,,5.955,92.56
1633347600,84.88,,6.76,91.64
1633347900,86.535,,6,92.535
1633348200,83.705,,7.35,91.055
1633348500,84.09,,7.165,91.255
1633348800,84.45,,6.98,91.43
1633349100,84.3,,6.955,91.255
1633349400,82.88,,7.75,90.63
1633349700,85.9,,6.285,92.185
1633350000,83.87,,7.25,91.12
1633350300,83.685,,7.255,90.94
1633350600,82.41,,7.34,89.75
1633350900,85.535,,6.315,91.85
1633351200,82.565,,7.43,89.995
1633351500,84.4,,6.76,91.16
1633351800,82.67,,7.775,90.445
1633352100,83.455,,7.37,90.825
1633352400,84.005,,7.055,91.06
1633352700,84.445,,6.965,91.41
1633353000,82.345,,7.98,90.325
1633353300,85.93,,6.275,92.205
1633353600,82.63,,7.83,90.46
1633353900,84.495,,6.94,91.435
1633354200,82.23,,8.02,90.25
1633354500,85.605,,6.415,92.02
1633354800,85.065,,6.665,91.73
1633355100,85.42,,6.495,91.915
1633355400,83.375,,7.485,90.86
1633355700,84.01,,7.175,91.185
1633356000,84.24,,7.065,91.305
1633356300,85.19,,6.62,91.81
1633356600,83.135,,7.62,90.755
1633356900,84.875,,6.76,91.635
1633357200,83.94,,7.24,91.18
1633357500,83.855,,7.265,91.12
1633357800,83.525,,7.405,90.93
1633358100,85.295,,6.55,91.845
1633358400,84.675,,6.865,91.54
1633358700,84.235,,7.035,91.27
1633359000,83.715,,7.315,91.03
