Timestamp,Available_avg
1633003200,0
1633006800,0
1633010400,0
1633014000,0
1633017600,0
1633021200,0
1633075200,0
1633078800,0
1633082400,0
1633086000,0
1633089600,0
1633093200,0
1633096800,0
1633100400,0
1633330800,0
1633334400,0
1633338000,0
1633341600,0
1633345200,0
1633348800,0
1633352400,0
1633356000,0
1633359600,0
1633363200,0
1633366800,0
1633370400,0
1633374000,0
1633377600,0
1633381200,0
1633384800,0
1633388400,0
1633392000,0
1633395600,0
1633399200,0
1633402800,0
1633406400,0
1633410000,0
1633413600,0
1633417200,0
1633420800,0
1633424400,0
1633428000,0
1633431600,0
1633435200,0
1633438800,0
1633442400,0
1633446000,0
1633449600,0
1633496400,0
1633500000,0
1633503600,0
1633507200,0
1633510800,0
1633514400,0
1633518000,0
1633521600,0
1633525200,0
1633528800,0
1633532400,0
1633536000,0
1633539600,0
1633586400,0
1633590000,0
1633593600,0
1633597200,0
1633600800,0
1633604400,0
