Timestamp,Available(GB),,,,Total._avg (GB),Use._avg (GB)
1634891010,7.509963989,,,,21.90723419,14.3972702
1634891040,7.509567897,,,,21.90723419,14.3976663
1634891070,7.508935293,,,,21.90723419,14.3982989
1634891100,7.51227061,,,,21.90723419,14.39496358
1634891130,7.51227061,,,,21.90723419,14.39496358
1634891160,7.510981878,,,,21.90723419,14.39625231
1634891190,7.509588877,,,,21.90723419,14.39764531
1634891220,7.487660726,,,,21.90723419,14.41957347
1634891250,7.487660726,,,,21.90723419,14.41957347
1634891280,7.514212926,,,,21.90723419,14.39302127
1634891310,7.499879837,,,,21.90723419,14.40735435
1634891340,7.495717367,,,,21.90723419,14.41151683
1634891370,7.495717367,,,,21.90723419,14.41151683
1634891400,7.495178223,,,,21.90723419,14.41205597
1634891430,7.492387136,,,,21.90723419,14.41484706
1634891460,7.489118576,,,,21.90723419,14.41811562
1634891490,7.489118576,,,,21.90723419,14.41811562
1634891520,7.491266251,,,,21.90723419,14.41596794
1634891550,7.491522471,,,,21.90723419,14.41571172
1634891580,7.483540853,,,,21.90723419,14.42369334
1634891610,7.483540853,,,,21.90723419,14.42369334
1634891640,7.482765834,,,,21.90723419,14.42446836
1634891670,7.484455744,,,,21.90723419,14.42277845
1634891700,7.476102193,,,,21.90723419,14.431132
1634891730,7.476102193,,,,21.90723419,14.431132
1634891760,7.480297724,,,,21.90723419,14.42693647
1634891790,7.454155604,,,,21.90723419,14.45307859
1634891820,7.471502304,,,,21.90723419,14.43573189
1634891850,7.471502304,,,,21.90723419,14.43573189
1634891880,7.47466596,,,,21.90723419,14.43256823
1634891910,7.465559006,,,,21.90723419,14.44167519
1634891940,7.4615345,,,,21.90723419,14.44569969
1634891970,7.4615345,,,,21.90723419,14.44569969
1634892000,7.462857564,,,,21.90723419,14.44437663
1634892030,7.463998159,,,,21.90723419,14.44323603
1634892060,7.556219737,,,,21.90723419,14.35101446
1634892090,7.556219737,,,,21.90723419,14.35101446
1634892120,7.553312302,,,,21.90723419,14.35392189
1634892150,7.553755442,,,,21.90723419,14.35347875
1634892180,7.550844828,,,,21.90723419,14.35638936
1634892210,7.550844828,,,,21.90723419,14.35638936
1634892240,7.549952825,,,,21.90723419,14.35728137
1634892270,7.550967534,,,,21.90723419,14.35626666
1634892300,7.528212865,,,,21.90723419,14.37902133
1634892330,7.528212865,,,,21.90723419,14.37902133
1634892360,7.550758362,,,,21.90723419,14.35647583
1634892390,7.552938461,,,,21.90723419,14.35429573
1634892420,7.544175466,,,,21.90723419,14.36305873
1634892450,7.544175466,,,,21.90723419,14.36305873
1634892480,7.543132782,,,,21.90723419,14.36410141
1634892510,7.51121521,,,,21.90723419,14.39601898
1634892540,7.453329086,,,,21.90723419,14.45390511
1634892570,7.453329086,,,,21.90723419,14.45390511
1634892600,7.438676834,,,,21.90723419,14.46855736
1634892630,7.437067668,,,,21.90723419,14.47016652
1634892660,7.431711197,,,,21.90723419,14.47552299
1634892690,7.431711197,,,,21.90723419,14.47552299
1634892720,7.433622996,,,,21.90723419,14.4736112
1634892750,7.432570775,,,,21.90723419,14.47466342
1634892780,7.431825002,,,,21.90723419,14.47540919
1634892810,7.431825002,,,,21.90723419,14.47540919
1634892840,7.425212224,,,,21.90723419,14.48202197
1634892870,7.418945948,,,,21.90723419,14.48828824
1634892900,7.406773249,,,,21.90723419,14.50046094
1634892930,7.406773249,,,,21.90723419,14.50046094
1634892960,7.404340744,,,,21.90723419,14.50289345
1634892990,7.404575984,,,,21.90723419,14.50265821
1634893020,7.406691869,,,,21.90723419,14.50054232
1634893050,7.406691869,,,,21.90723419,14.50054232
1634893080,7.392171224,,,,21.90723419,14.51506297
1634893110,7.387407303,,,,21.90723419,14.51982689
1634893140,7.363601685,,,,21.90723419,14.54363251
1634893170,7.363601685,,,,21.90723419,14.54363251
1634893200,7.358015696,,,,21.90723419,14.5492185
1634893230,7.354070663,,,,21.90723419,14.55316353
1634893260,0,,,,0,0
1634893290,0,,,,0,0
1634893320,0,,,,0,0
1634893350,0,,,,0,0
1634893380,0,,,,0,0
1634893410,0,,,,0,0
