Timestamp,Available(GB),,,,Total._avg (GB),Use._avg (GB)
1634889831,0,,,,0,0
1634889840,7.553702672,,,,21.90723419,14.35353152
1634889870,7.552092234,,,,21.90723419,14.35514196
1634889900,7.545907974,,,,21.90723419,14.36132622
1634889930,7.545907974,,,,21.90723419,14.36132622
1634889960,7.541735331,,,,21.90723419,14.36549886
1634889990,7.549715678,,,,21.90723419,14.35751851
1634890020,7.550792058,,,,21.90723419,14.35644213
1634890050,7.550792058,,,,21.90723419,14.35644213
1634890080,7.54874293,,,,21.90723419,14.35849126
1634890110,7.542938232,,,,21.90723419,14.36429596
1634890140,7.514729182,,,,21.90723419,14.39250501
1634890170,7.514729182,,,,21.90723419,14.39250501
1634890200,7.531421661,,,,21.90723419,14.37581253
1634890230,7.534175237,,,,21.90723419,14.37305895
1634890260,7.533030192,,,,21.90723419,14.374204
1634890290,7.533030192,,,,21.90723419,14.374204
1634890320,7.558096568,,,,21.90723419,14.34913762
1634890350,7.527844747,,,,21.90723419,14.37938944
1634890380,7.526573817,,,,21.90723419,14.38066037
1634890410,7.526573817,,,,21.90723419,14.38066037
1634890440,7.528025309,,,,21.90723419,14.37920888
1634890470,7.53010114,,,,21.90723419,14.37713305
1634890500,7.524086634,,,,21.90723419,14.38314756
1634890530,7.524086634,,,,21.90723419,14.38314756
1634890560,7.524425507,,,,21.90723419,14.38280869
1634890590,7.524803797,,,,21.90723419,14.38243039
1634890620,7.518806458,,,,21.90723419,14.38842773
1634890650,7.518806458,,,,21.90723419,14.38842773
1634890680,7.52154541,,,,21.90723419,14.38568878
1634890710,7.493684769,,,,21.90723419,14.41354942
1634890740,7.516945521,,,,21.90723419,14.39028867
1634890770,7.516945521,,,,21.90723419,14.39028867
1634890800,7.51825587,,,,21.90723419,14.38897832
1634890830,7.516251882,,,,21.90723419,14.39098231
1634890860,7.520334244,,,,21.90723419,14.38689995
1634890890,7.520334244,,,,21.90723419,14.38689995
1634890920,7.518516541,,,,21.90723419,14.38871765
1634890950,7.515940984,,,,21.90723419,14.39129321
1634890980,7.509963989,,,,21.90723419,14.3972702
