Timestamp,Available_avg
1632049188,0
1632052788,0
1632056388,0
1632059988,0
1632063588,0
1632067188,0
1632070788,0
1632074388,0
1632077988,0
1632081588,0
1632085188,0
1632088788,0
1632092388,0
1632095988,0
1632099588,0
1632103188,0
1632106788,0
1632110388,0
1632113988,0
1632117588,0
1632117600,8410301292
1632121200,7744589875
1632124800,7011373353
1632128400,6723934669
1632132000,6713310444
1632135600,6594430305
1632139200,6392416886
1632142800,6403234186
1632146400,6117516252
1632150000,6170508590
1632153600,6238934344
1632157200,6178635428
1632207600,11384770227
1632211200,8578425349
1632214800,7877558513
1632218400,7549766108
1632222000,5908865434
1632225600,5606722857
1632229200,5501198065
1632232800,5472776965
1632236400,5475283825
1632240000,5658664136
1632243600,5755890140
1632247200,5709751982
1632250800,5657319972
1632254400,5625564273
1632258000,5580316262
1632261600,5546763295
1632265200,5496387732
1632268800,5454989553
1632272400,5407383583
1632276000,5414432937
1632279600,5462015529
1632283200,5420317373
1632286800,5479725681
1632290400,5435182198
1632294000,5417921162
1632297600,5470197929
1632301200,5280054267
1632304800,5589902505
1632308400,5343011942
1632312000,5196391982
1632315600,5233378237
1632319200,5132314762
1632322800,5105140547
1632326400,5130811244
1632330000,5169387259
1632384000,9455310659
1632387600,8001980360
1632391200,7839462564
1632394800,7591857731
1632398400,7434845834
1632402000,7178532690
1632405600,7119673426
1632409200,7036681876
1632412800,6893786061
1632416400,6920034017
1632420000,6855561436
1632423600,6790868567
1632427200,6881737098
1632430800,6837306348
1632434400,6802949028
1632438000,6772403773
1632441600,6735339643
1632445200,6690101586
1632448800,6638412698
1632452400,6563662413
1632456000,6549008169
1632459600,6548985789
1632463200,6511913078
1632466800,6471090591
1632470400,6426101018
1632474000,6525385390
1632477600,6431981010
1632481200,6302116582
1632484800,6062096891
1632488400,5978729498
1632492000,6002110915
1632495600,6144265897
1632499200,4835613256
1632502800,4669486510
1632726000,9660143636
1632729600,6712278231
1632733200,5202416681
1632736800,4975004411
1632740400,4836452383
1632744000,4459873915
1632747600,4646736722
1632751200,4634453074
1632754800,4515579402
1632758400,4181171190
1632812400,9637718124
1632819600,10140646958
1632823200,8076876728
1632826800,7577375355
1632830400,6036949755
1632834000,5460873339
1632837600,5278071537
1632841200,5163513871
1632844800,5086570860
1632891600,9897509115
1632895200,8306367872
1632898800,7733252879
1632902400,7350674898
1632906000,7085504005
1632909600,7066849613
1632913200,6987204429
1632916800,6414671447
1632920400,5300250255
1632924000,5236258109
1632927600,5096852813
1632931200,5060518825
1632974400,9450513905
1632978000,8300557932
1632981600,7913882977
1632985200,6100765317
1632988800,5616938788
1632992400,5500007204
1632996000,5368844636
1632999600,5267751900
1633003200,5231930721
1633006800,5166029978
1633010400,5192001300
1633014000,5184486287
1633017600,5230504566
1633021200,5208319877
1633075200,12690905354
1633078800,8834863508
1633082400,7924174986
1633086000,7621852129
1633089600,7383295063
1633093200,6738401096
1633096800,5467836344
1633100400,5403473961
1633330800,9816829983
1633334400,8341229563
1633338000,7867655368
1633341600,5379571369
1633345200,4413598126
1633348800,4441452457
1633352400,4162465132
1633356000,3980042199
1633359600,3933737405
1633363200,3822510899
1633366800,3824489784
1633370400,3764679695
1633374000,3807732874
1633377600,3823245194
1633381200,3829673861
1633384800,3830797563
1633388400,3818818831
1633392000,3794370975
1633395600,3823962593
1633399200,3790414454
1633402800,3768477133
1633406400,3735208740
1633410000,3702920607
1633413600,3653844413
1633417200,3547920737
1633420800,3680635208
1633424400,3377496515
1633428000,3333628785
1633431600,3323194184
1633435200,3391784786
1633438800,3400799503
1633442400,3350791578
1633446000,3933232809
1633449600,3903991081
1633496400,9531639168
1633500000,8092467645
1633503600,7515158497
1633507200,7083984420
1633510800,7062940278
1633514400,6937954412
1633518000,4966899799
1633521600,4467838070
1633525200,4182031268
1633528800,5198658514
1633532400,5517850772
1633536000,5526119767
1633539600,5538613233
1633586400,19369233260
1633590000,8565186012
1633593600,6092912266
1633597200,5943040143
1633600800,5953971901
1633604400,5874374246
1633608000,5749136246
1633611600,5436554911
1633615200,5099519862
1633618800,3888892913
1633622400,3663795405
1633690800,7851299405
1633694400,5251438188
1633698000,4693781202
1633701600,4625055544
1633705200,4597387428
1633708800,4567297500
1633712400,4532398090
1633939200,9662683279
1633942800,8022244413
1633946400,7575873741
1633950000,7298246385
1633953600,7093695329
1633957200,6782785029
1633960800,6706352195
1633964400,6662665544
1633968000,6623787213
1633971600,6576512809
1634022000,15083045089
1634025600,8515854367
1634029200,7695953562
1634032800,7220550026
1634036400,4544106235
1634040000,4630698132
1634043600,4376628244
1634047200,4035882281
1634050800,4088178094
1634054400,3979904563
1634104800,11715941371
1634108400,8410454764
1634112000,7779240842
1634115600,7327611080
1634119200,7144800020
1634122800,6972191995
1634126400,6877010294
1634130000,6837502817
1634133600,6795181865
1634137200,6726206566
1634140800,6652707062
1634198400,11005926098
1634202000,8518221373
1634205600,7902073032
1634209200,7593038981
1634212800,7450461066
1634216400,7131588541
1634220000,7046685138
1634223600,6989846328
1634227200,6909584906
1634540400,9422994575
1634544000,8149376092
1634547600,7858258371
1634551200,7025385498
1634554800,6335231053
1634558400,6315521772
1634562000,5991997420
1634565600,5859143941
1634569200,5761954309
1634572800,5768993336
1634576400,5680822687
1634626800,10152059817
1634630400,8308143299
1634634000,7907911132
1634637600,7543639060
